,simulation_id,p,ver,initialization,hidden_size,corpus_seed,training_seed,regularization,regularization_lambda,learning_rate,num_epochs,dropout,validation_ratio,early_stop_patience,train_size,training_loss,validation_loss,G,D:G,test_accuracy,first_n_failure,eval_params
2819,7e8a5272,0.3,8,uniform,3,100,400,L1,0.5,0.001,20000,0.4,0.05,10.0,10000,23.95048713684080,1.149477243423460,3615,1662611.5380993500,0.998,1,"{""test_max_n"": 1000, ""quantize"": true, ""compress_g"": false}"
2795,dbaf234f,0.3,8,uniform,3,100,400,L1,0.5,0.001,20000,0.0,0.05,10.0,10000,23.884584426879900,1.1495743989944500,3545,1662742.2823374300,0.998,1,"{""test_max_n"": 1000, ""quantize"": true, ""compress_g"": false}"
2759,af8504f1,0.3,8,uniform,3,100,400,L1,1.0,0.001,20000,0.2,0.05,10.0,10000,46.701297760009800,1.1496250629425000,3569,1662836.959199490,0.998,1,"{""test_max_n"": 1000, ""quantize"": true, ""compress_g"": false}"
2747,3a3b44ff,0.3,8,uniform,3,100,400,L1,1.0,0.001,20000,0.0,0.05,10.0,10000,46.65296173095700,1.1496334075927700,3511,1662878.4366819200,0.998,1,"{""test_max_n"": 1000, ""quantize"": true, ""compress_g"": false}"
2771,e5785324,0.3,8,uniform,3,100,400,L1,1.0,0.001,20000,0.4,0.05,10.0,10000,46.741783142089800,1.1498161554336500,3569,1663135.597072960,0.998,1,"{""test_max_n"": 1000, ""quantize"": true, ""compress_g"": false}"
2783,4026d7cb,0.3,8,uniform,3,100,400,L1,1.0,0.001,20000,0.6,0.05,10.0,10000,46.87638854980470,1.1498477458953900,3617,1663202.3217186000,0.998,1,"{""test_max_n"": 1000, ""quantize"": true, ""compress_g"": false}"
952,2cbc0f1f,0.3,8,normal,3,100,300,L2,0.5,0.001,20000,0.6,0.05,2.0,500,31.266239166259800,1.1519511938095100,3527,1608011.8425925100,0.0,1,"{""test_max_n"": 1000, ""quantize"": true, ""compress_g"": false}"
2921,82e4f31c,0.3,8,uniform,3,100,400,L2,1.0,0.001,20000,0.6,0.05,2.0,1000,38.916542053222700,1.1523559093475300,3897,1668795.8307290000,0.998,1,"{""test_max_n"": 1000, ""quantize"": true, ""compress_g"": false}"
3172,22d5f71f,0.3,8,uniform,3,100,500,L1,0.1,0.001,20000,0.0,0.05,2.0,500,5.043764114379880,1.1556496620178200,3613,1670621.0202926100,0.002,2,"{""test_max_n"": 1000, ""quantize"": true, ""compress_g"": false}"
3176,0372daa0,0.3,8,uniform,3,100,500,L1,0.1,0.001,20000,0.0,0.05,10.0,500,4.861688613891600,1.156121850013730,3583,1671616.479870820,0.002,2,"{""test_max_n"": 1000, ""quantize"": true, ""compress_g"": false}"
3173,d42efb39,0.3,8,uniform,3,100,500,L1,0.1,0.001,20000,0.0,0.05,2.0,1000,5.197089195251470,1.1612929105758700,3725,1678850.3331427200,0.002,2,"{""test_max_n"": 1000, ""quantize"": true, ""compress_g"": false}"
3177,6def4dbd,0.3,8,uniform,3,100,500,L1,0.1,0.001,20000,0.0,0.05,10.0,1000,4.897485256195070,1.1613651514053300,3601,1679700.0805218000,0.002,2,"{""test_max_n"": 1000, ""quantize"": true, ""compress_g"": false}"
